time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-02-07T22:27:13.290Z,withdrawal,USDC,2.00000000,0.60340634,stargate.berachain,2670cc40-0474-11f1-9b88-d9a3d4ec4f2f,0xb9100d9310dfbdc57a28c075f627936294fac32b1a81109a2bec359fec600893,mined,,
2026-02-07T22:27:21.801Z,withdrawal,USDC,2.00000000,0.58339397,stargate.ethereum,2b832b10-0474-11f1-8d50-c9be40c0cd21,0xe3c16e273eb5144be38947bc4ccea2e5af65cbdd969598131060f5ef2561106e,mined,,
2026-02-07T22:27:30.242Z,withdrawal,USDC,2.00000000,0.63482743,stargate.optimism,308b29a0-0474-11f1-9973-0d8c0cdf4148,0x1a1848c0ddf41cdc3a1b0b2735842f25037c9de8bc8db7f12c2ba165d75fd985,mined,,
2026-02-09T16:17:10.017Z,deposit,USDC,2.00000000,,stargate.ethereum,c9167800-05d2-11f1-8b07-574a1a9abcf5,0xf684bd47fb923387f0beb083ab069dbb03b2689d4f2e19a96fa2a9a179e96b25,,,
2026-02-09T16:17:52.007Z,deposit,USDC,0.99989900,,stargate.optimism,e21da260-05d2-11f1-8b07-574a1a9abcf5,0x329d9a4f613d087fdbdb27f11bb258aa441ea52694446c3a46fa0a3ab8600764,,,
2026-02-09T16:18:10.008Z,deposit,USDC,0.49994900,,stargate.base,ecd88580-05d2-11f1-8b07-574a1a9abcf5,0x37febe1101df109d924efcb8e46a73859983c203d4fc79b4a82139d6d02e81b5,,,
2026-02-09T16:18:30.019Z,deposit,USDC,1.00000000,,stargate.berachain,f8c5f530-05d2-11f1-8b07-574a1a9abcf5,0x65d937ea490ed48ec9c6d8602701b6fe3447de018ac4f4d8c945cf7b8b45e237,,,
2026-02-09T16:19:28.008Z,deposit,USDC,0.99799900,,stargate.avalanche,1b566080-05d3-11f1-8b07-574a1a9abcf5,0xb8898a007cc85d1362d4d297f04080c1dcacc6392410c482f31ad9e71deb343b,,,
2026-02-09T16:24:42.024Z,deposit,USDC,0.99989900,,stargate.arbitrum,d6816a80-05d3-11f1-8b07-574a1a9abcf5,0x469d172dd0726182d8a506986356e0144937b0b00db2ba1ff3e1a3501af69064,,,
2026-02-09T16:33:23.326Z,withdrawal,USDC,20.00000000,1.37552923,stargate.arbitrum,0d38df80-05d5-11f1-9973-0d8c0cdf4148,0x0cd31e3cd1a606780467912e432fcb131e0c63804e0c7e6cf46a5cba90f5ffba,mined,,
2026-02-09T16:41:36.012Z,deposit,USDC,1.00000000,,stargate.ethereum,32e3b4c0-05d6-11f1-8b07-574a1a9abcf5,0x80e79112e291950026a23131583a3299d4e8d602523b8c1281e3ec78e4efb0b2,,,
2026-02-09T16:47:52.483Z,withdrawal,USDC,2.00000000,1.80948855,stargate.arbitrum,1347b4d0-05d7-11f1-a69e-91fe0786d1de,0xf60084c5250284744a8df92a536b3a40b67b2f6b724c70a5eb374254a7401612,mined,,
2026-02-09T16:48:00.728Z,withdrawal,USDC,2.00000000,1.76494212,stargate.avalanche,1831a410-05d7-11f1-8c28-f971379d991b,0xfd86f68d4e5e95a6fd41afcc4aecb436539dcd9bb9e875abe9bf28881d396619,mined,,
2026-02-09T16:48:07.870Z,withdrawal,USDC,2.00000000,1.77145599,stargate.base,1c739380-05d7-11f1-815c-13634685a54f,0x77e1da125e3e2d086f4849dc0a1542eceec7a1c4d83fe8045af681f37253a88b,mined,,
2026-02-09T16:48:15.301Z,withdrawal,USDC,2.00000000,1.73384367,stargate.berachain,20e14de0-05d7-11f1-be71-e30999f56992,0xbf37956606b4d5a07ac913bcc059ea4fb1041202e08e619d2945dcc2ec5c59f7,mined,,
2026-02-09T16:48:22.472Z,withdrawal,USDC,2.00000000,1.73205068,stargate.berachain,25278310-05d7-11f1-a184-d38fa1325e54,0x3a52e1f5bb28dffcd6d2e99c31e08b8d7cbc5b93e6b5c0197ecc807f25f2e58e,mined,,
2026-02-09T16:48:28.259Z,withdrawal,USDC,2.00000000,1.71198353,stargate.ethereum,289a89c0-05d7-11f1-9973-0d8c0cdf4148,0xffa2c67e060e509d0fea08cc31dbceb52cf5ad9b571580564f4409159a70e3be,mined,,
2026-02-09T16:48:34.314Z,withdrawal,USDC,2.00000000,1.76355778,stargate.optimism,2c360000-05d7-11f1-81e6-a9ed11fda549,0x71067a183514331c400642c1d757b99de86ded1036e5dbf08e4d5f6e2506b17d,mined,,
2026-02-09T17:24:14.555Z,withdrawal,USDC,5.00000000,1.82678166,stargate.avalanche,27e52a30-05dc-11f1-bff8-f1b9afc8c9b6,0x6115b0ae1cdb6de47ac54558e0d5c6970a39d5b8ef7947002dc59951b10ea47c,mined,,
2026-02-09T17:24:22.058Z,withdrawal,USDC,5.00000000,1.83411209,stargate.base,2c5e2f30-05dc-11f1-98b8-8915c30c9f6f,0xacac0cd4e5e9eb72ac83f74003dda0214d15cc09b514acebd7d4294e1af44996,mined,,
2026-02-09T17:24:29.365Z,withdrawal,USDC,4.14388100,1.79684228,stargate.berachain,30b888a0-05dc-11f1-a3f4-97a35439d1df,0x4e52dc72b9429a6fcf42e3feddbe81976c0462802c4818da63b524190a8ac72f,mined,,
2026-02-09T17:31:20.022Z,deposit,USDC,20.00000000,,stargate.ethereum,257f5850-05dd-11f1-8b07-574a1a9abcf5,0x0496b82cac23d3c5a556407cda0769095fe91b4521c644bad4b0ce55d18c2fa2,,,
2026-02-09T18:00:16.010Z,deposit,USDC,0.99989900,,stargate.arbitrum,303a3ea0-05e1-11f1-8b07-574a1a9abcf5,0x25859e80fa9c582e213352f9aec54d4b6bffc06f3d70569ea3fda5fe2cbac61d,,,
2026-02-09T18:06:50.012Z,deposit,USDC,1.49984900,,stargate.arbitrum,1b122dc0-05e2-11f1-8b07-574a1a9abcf5,0x6f746906f232d3ed9c56840fc3ba87ffbac16ca901f9d138d18e73b2e4dd62d0,,,
2026-02-09T18:07:52.007Z,deposit,USDC,1.29739900,,stargate.avalanche,4005b660-05e2-11f1-8b07-574a1a9abcf5,0xe1ec728df9c73e4cc48b633284d348cc42d608757c03dab7d024dfe2fb130361,,,
2026-02-09T18:13:24.023Z,deposit,USDC,2.00000000,,stargate.ethereum,05eb5560-05e3-11f1-8b07-574a1a9abcf5,0x77cce025f657b2cdfb120e396ae2af4b29014f67ad51575f14eb7690e10baf65,,,
2026-02-09T18:39:34.012Z,deposit,USDC,1.99972700,,stargate.arbitrum,adb4a4b0-05e6-11f1-8b07-574a1a9abcf5,0xb3943459dc1531ad90dfadc9923e95d80d4e7fb04daa332963fd7f83ed674921,,,
